ORIGIN,TAXI_OUT
ABI,10.0
ABQ,11.0
ABR,9.0
ABY,10.0
ACK,13.0
ACT,10.0
ACV,8.0
ACY,10.0
AGS,13.0
ALB,10.0
ALO,10.0
AMA,12.0
ANC,12.0
APN,8.0
ASE,17.0
ATL,13.0
ATW,11.0
AUS,12.0
AVL,13.0
AVP,12.0
AZO,11.0
BDL,11.0
BET,8.0
BFF,8.0
BFL,13.0
BFM,11.0
BGM,10.0
BGR,12.0
BIL,11.0
BJI,6.0
BLI,11.0
BLV,9.0
BNA,11.0
BOI,11.0
BOS,15.0
BPT,12.0
BQK,11.0
BRD,7.0
BRO,11.0
BRW,8.0
BTM,11.0
BTR,12.0
BUF,10.0
BUR,12.0
BWI,11.0
BZN,12.0
CAE,12.0
CAK,13.0
CDB,8.0
CDC,13.0
CDV,7.0
CGI,12.0
CHA,12.0
CHO,14.0
CHS,12.0
CID,12.0
CKB,11.0
CLL,10.0
CMH,11.0
CMI,11.0
CMX,11.0
CNY,11.0
COD,13.0
COS,16.0
COU,13.0
CPR,12.0
CRP,11.0
CRW,13.0
CSG,11.0
CVG,12.0
CWA,11.0
CYS,12.5
DAY,12.0
DBQ,11.0
DEC,10.0
DFW,17.0
DLG,5.0
DLH,12.0
DRT,11.0
DSM,12.0
DTW,14.0
DVL,15.0
EAR,14.0
EAU,10.5
EGE,14.0
EKO,10.0
ELM,10.0
ELP,12.0
ERI,11.0
ESC,8.0
EUG,12.0
EVV,13.0
EWN,13.0
EWR,17.0
EYW,11.0
FAI,11.0
FAR,12.0
FAT,11.0
FAY,11.0
FCA,12.0
FLG,16.0
FLL,14.0
FNT,10.0
FSM,10.0
FWA,12.0
GCC,9.0
GCK,9.0
GEG,11.0
GFK,11.0
GGG,12.0
GJT,13.0
GNV,12.0
GPT,12.0
GRB,11.0
GRI,9.0
GRK,13.0
GRR,12.0
GSO,13.0
GSP,12.0
GST,7.5
GTF,10.0
GTR,10.5
GUC,13.0
HDN,15.0
HGR,7.0
HHH,13.0
HIB,9.0
HLN,13.0
HNL,13.0
HOU,9.0
HPN,12.0
HRL,9.0
HSV,13.0
HTS,6.0
HVN,12.0
HYA,7.5
IAG,11.0
ICT,11.0
IDA,11.0
ILM,12.0
IMT,7.0
IND,11.0
INL,7.0
ISP,9.0
ITH,12.0
JAC,14.0
JAN,13.0
JAX,12.0
JFK,17.0
JLN,13.0
JMS,12.0
JNU,12.0
KOA,9.0
KTN,10.0
LAN,11.0
LAS,12.0
LAW,11.0
LAX,13.0
LBB,12.0
LBE,10.0
LBF,8.0
LBL,9.0
LCH,13.0
LCK,10.0
LEX,13.0
LFT,14.0
LGA,17.0
LIH,8.0
LIT,11.0
LRD,12.0
LSE,9.0
LWB,10.0
LWS,11.0
MAF,11.0
MBS,11.5
MCI,11.0
MCO,13.0
MDT,12.0
MDW,9.0
MFR,10.0
MGM,13.0
MHK,11.0
MHT,10.0
MIA,15.0
MKG,9.0
MLB,13.0
MLU,12.0
MMH,13.0
MOB,12.0
MOT,11.0
MQT,9.0
MRY,12.0
MSN,12.0
MSO,12.0
MSP,13.0
MSY,11.0
MTJ,14.0
MVY,11.0
MYR,12.0
OAJ,13.0
OAK,10.0
OGG,9.0
OGS,14.0
OKC,11.0
OMA,11.0
OME,8.0
ONT,10.0
ORD,17.0
ORF,12.0
ORH,11.0
OTH,7.0
OTZ,8.0
PAE,13.0
PAH,9.0
PBI,12.0
PDX,11.0
PGD,11.0
PHF,12.0
PHL,15.0
PHX,13.0
PIA,12.0
PIB,12.0
PIE,11.0
PIH,11.0
PIR,10.0
PIT,11.0
PLN,8.0
PNS,11.0
PRC,12.0
PSC,10.0
PSG,8.0
PSM,10.0
PSP,12.0
PUB,9.0
PVD,10.0
PVU,10.0
PWM,11.0
RAP,12.0
RDD,11.0
RDM,12.0
RDU,14.0
RFD,10.0
RHI,8.0
RIC,13.0
RIW,11.0
RKS,9.0
RNO,11.0
ROA,13.0
ROC,11.0
ROW,12.0
RST,11.0
RSW,11.0
SAF,13.0
SAN,13.0
SAT,10.0
SAV,13.0
SBA,12.0
SBN,12.0
SBP,12.0
SCC,9.0
SCE,9.0
SCK,8.0
SDF,12.0
SEA,15.0
SFB,12.0
SFO,15.0
SGF,12.0
SGU,13.0
SHD,11.0
SHR,19.5
SHV,12.0
SIT,10.0
SJC,10.0
SJT,10.0
SJU,14.0
SLC,15.0
SLN,12.0
SMF,10.0
SNA,11.0
SPI,10.0
SPS,12.0
SRQ,12.0
STC,8.5
STS,12.0
STT,11.0
STX,13.0
SUN,12.0
SUX,10.0
SWF,11.0
SWO,11.0
SYR,11.0
TLH,11.0
TOL,10.0
TPA,12.0
TRI,11.0
TTN,13.0
TUL,12.0
TVC,11.0
TWF,10.0
TXK,9.0
TYR,11.0
TYS,13.0
UIN,15.5
VEL,12.5
VLD,12.0
VPS,13.0
WRG,7.0
WYS,9.0
XNA,13.0
YAK,7.0
